balloon_id,hour_index,lat,lon,alt,balloon_speed,balloon_dir,windspeed,winddir,next_lat,next_lon,next_alt
0,1,23.087788898556635,176.90317328674638,16.09285774453833,129.48399354488978,269.90195821091675,17.7,96,23.085796471941656,175.65326961235658,16.97044258635776
0,2,23.085796471941656,175.65326961235658,16.97044258635776,127.85187083892463,270.1457868824186,20.5,92,23.081627672958014,174.425357939192,17.79960152284523
0,3,23.081627672958014,174.425357939192,17.79960152284523,125.60588137357009,270.02928270986496,22.7,90,23.075475854898112,173.21985866849298,18.572753556884287
0,4,23.075475854898112,173.21985866849298,18.572753556884287,123.31906928443722,269.91847214026376,22.3,88,23.062231371262406,172.0348012998001,19.28197591597218
0,5,23.062231371262406,172.0348012998001,19.28197591597218,121.24375471883967,269.5362329296003,18.7,90,23.042179380475368,170.87858291744078,19.920784182686447
0,6,23.042179380475368,170.87858291744078,19.920784182686447,118.32015661084306,269.14664397202205,16.9,91,23.00997081122751,169.74805590658337,20.482632254386445
0,7,23.00997081122751,169.74805590658337,20.482632254386445,115.74838876306954,268.4480701382414,18.8,83,22.964945120912876,168.64596288699772,20.96238315621606
0,8,22.964945120912876,168.64596288699772,20.96238315621606,112.92649750374322,267.6742324267827,18.0,88,22.903904744429006,167.57560411905692,21.355120704698102
0,9,22.903904744429006,167.57560411905692,21.355120704698102,109.8199231989932,266.6652604790541,14.9,83,22.824031764513776,166.5356456476026,21.65725410186966
0,10,22.824031764513776,166.5356456476026,21.65725410186966,106.92168713008367,265.43740602364704,16.3,84,22.72229459410629,165.531616516202,21.865731949109342
0,11,22.72229459410629,165.531616516202,21.865731949109342,103.55929554216246,263.9230816122564,19.1,87,22.596639874401763,164.5634880895896,21.97851452328434
0,12,22.596639874401763,164.5634880895896,21.97851452328434,100.31904585307079,262.1806674509724,16.5,79,22.444956019664595,163.63274754145692,21.994570653733568
0,13,22.444956019664595,163.63274754145692,21.994570653733568,97.07750257372389,260.173007681658,18.4,90,22.264793793333297,162.74133060517133,21.913735807398844
0,14,22.264793793333297,162.74133060517133,21.913735807398844,93.8349031565371,257.84264662731255,19.4,100,22.057431058806575,161.89132637762484,21.736749056983104
0,15,22.057431058806575,161.89132637762484,21.736749056983104,90.51970171716745,255.40328987023858,19.1,102,21.816304516052178,161.08320721603505,21.46542405064011
0,16,21.816304516052178,161.08320721603505,21.46542405064011,87.55863397053513,252.31981043442,18.3,110,21.540986628064882,160.31918948908978,21.102241511908126
0,17,21.540986628064882,160.31918948908978,21.102241511908126,84.67387144536892,248.94596792585992,18.6,112,21.23189786843863,159.5988934188861,20.650785906585824
0,18,21.23189786843863,159.5988934188861,20.650785906585824,82.11647916950459,245.38920294743394,20.0,108,20.887011959929477,158.92729092972516,20.11559523390374
0,19,20.887011959929477,158.92729092972516,20.11559523390374,79.5454265224704,241.2978190045211,16.1,110,20.50218650145797,158.3052049740017,19.50156274021613
0,20,20.50218650145797,158.3052049740017,19.50156274021613,77.57797430706383,236.63468122987004,19.1,112,20.080576876886717,157.7303506175047,18.814980641730223
0,21,20.080576876886717,157.7303506175047,18.814980641730223,76.10698564795632,232.0764652248731,21.6,114,19.618462837763097,157.20713804936975,18.062126356052637
0,22,19.618462837763097,157.20713804936975,18.062126356052637,75.0657691284343,226.8906057223031,20.5,108,19.455287962089702,157.04446125479924,17.797881321623485
1,1,-23.3922572848865,-41.817214683494306,17.130238278488843,34.900851694493184,22.697586964719846,26.7,226,-23.101365224999334,-41.687668975629556,19.42238385067028
1,2,-23.101365224999334,-41.687668975629556,19.42238385067028,34.94881120520778,22.279175821188574,30.8,218,-22.8123159436364,-41.561253188133925,21.061210328181815
1,3,-22.8123159436364,-41.561253188133925,21.061210328181815,34.64917088484041,21.95990435516279,32.0,236,-22.519785036781453,-41.436559632772614,21.903448672392834
1,4,-22.519785036781453,-41.436559632772614,21.903448672392834,34.953748307489235,21.49557418939196,21.2,249,-22.22722994399821,-41.3150526079387,21.874581270986177
1,5,-22.22722994399821,-41.3150526079387,21.874581270986177,34.84737285442467,21.03319935573637,6.1,315,-21.932834997834753,-41.19618321757506,20.977131762006366
1,6,-21.932834997834753,-41.19618321757506,20.977131762006366,34.95160799076672,20.536320392290463,13.7,337,-21.63822577042015,-41.08219024135394,19.29050260326063
1,7,-21.63822577042015,-41.08219024135394,19.29050260326063,34.80936009906701,19.784276255103066,12.1,323,-21.34335930555967,-40.97057537798325,16.962141826243478
1,8,-21.34335930555967,-40.97057537798325,16.962141826243478,34.76189914647368,19.423258778828085,11.6,324,-21.04540861722126,-40.866219410327176,14.198052739798392
1,9,-21.04540861722126,-40.866219410327176,14.198052739798392,34.85235295562778,18.1035896570134,2.9,300,-20.74645525402009,-40.764403911504765,11.239876781564318
1,10,-20.74645525402009,-40.764403911504765,11.239876781564318,34.884158027812305,17.66787812812663,2.5,360,-20.444026812471833,-40.668124249619865,8.34857115671392
1,11,-20.444026812471833,-40.668124249619865,8.34857115671392,35.09000531254379,16.61147059924599,15.3,315,-20.142551658701436,-40.57746578538408,5.779139822126267
1,12,-20.142551658701436,-40.57746578538408,5.779139822126267,34.8303901891997,15.766880270427407,12.0,321,-19.837968734857686,-40.49412263806344,3.756206898839137
1,13,-19.837968734857686,-40.49412263806344,3.756206898839137,34.96988324941086,14.435119221962168,10.5,319,-19.534192431104767,-40.41473087888892,2.4587527578951587
1,14,-19.534192431104767,-40.41473087888892,2.4587527578951587,34.786033534435184,13.837736628358357,6.5,3,-19.225999580502542,-40.34205257391166,2.0002030791655976
